"year","state_abbreviation","state","number_on_parole_per_100000_us_adult_residents"
2014,"MT","Montana","136"
2014,"NE","Nebraska","75"
2014,"NV","Nevada","270"
2014,"NH","New Hampshire","224"
2014,"NJ","New Jersey","214"
2014,"NM","New Mexico","142"
2014,"NY","New York","288"
2014,"NC","North Carolina","130"
2014,"ND","North Dakota","101"
2014,"OH","Ohio","193"
2014,"OK","Oklahoma","87"
2014,"OR","Oregon","766"
2014,"PA","Pennsylvania","1035"
2014,"RI","Rhode Island","55"
2014,"SC","South Carolina","139"
2014,"SD","South Dakota","404"
2014,"TN","Tennessee","266"
2014,"TX","Texas","556"
2014,"UT","Utah","161"
2014,"VT","Vermont","219"
2014,"VA","Virginia","27"
2014,"WA","Washington","180"
2014,"WV","West Virginia","187"
2014,"WI","Wisconsin","448"
2014,"WY","Wyoming","160"
2015,"AL","Alabama","216"
2015,"AK","Alaska",NA
2015,"AZ","Arizona","141"
2015,"AR","Arkansas","1012"
2015,"CA","California","285"
2015,"CO","Colorado","242"
2015,"CT","Connecticut","104"
2015,"DE","Delaware","57"
2015,"FL","Florida","28"
2015,"GA","Georgia","311"
2015,"HI","Hawaii","137"
2015,"ID","Idaho","396"
2015,"IL","Illinois","294"
2015,"IN","Indiana","187"
2015,"IA","Iowa","246"
2015,"KS","Kansas","197"
2015,"KY","Kentucky","484"
2015,"LA","Louisiana","874"
2015,"ME","Maine","2"
2015,"MD","Maryland","233"
2015,"MA","Massachusetts","36"
2015,"MI","Michigan","232"
2015,"MN","Minnesota","161"
2015,"MS","Mississippi","371"
2015,"MO","Missouri","376"
2015,"MT","Montana","135"
2015,"NE","Nebraska","73"
2015,"NV","Nevada","246"
2015,"NH","New Hampshire","229"
2015,"NJ","New Jersey","217"
2015,"NM","New Mexico","182"
2015,"NY","New York","285"
2015,"NC","North Carolina","151"
2015,"ND","North Dakota","109"
2015,"OH","Ohio","203"
2015,"OK","Oklahoma","71"
2015,"OR","Oregon",NA
2015,"PA","Pennsylvania","1109"
2015,"RI","Rhode Island","51"
2015,"SC","South Carolina","131"
2015,"SD","South Dakota","408"
